SADDR:SPORT            DADDR:DPORT            SEQ          ACK          TOTAL      MAC        IP         TCP       
58.216.27.36:443       10.208.150.159:40116   3690296326   2758181892   317        109        2          205       
58.216.27.36:443       10.208.150.159:40116   3690299150   2758181892   289        113        1          174       
58.216.27.36:443       10.208.150.159:40116   3690300562   2758181892   311        115        1          195       
58.216.27.36:443       10.208.150.159:40116   3690301974   2758181892   316        110        1          205       
58.216.27.36:443       10.208.150.159:40116   3690303386   2758181892   309        112        0          196       
58.216.27.36:443       10.208.150.159:40116   3690304798   2758181892   301        126        2          172       
58.216.27.36:443       10.208.150.159:40116   3690306029   2758181892   464        134        1          328       
180.101.49.57:443      10.208.150.159:43648   2041023255   246954817    1866       22         3          1840      
180.101.49.57:443      10.208.150.159:43648   2041023606   246954817    1934       30         0          1903      
58.216.27.36:443       10.208.150.159:52160   247009719    3362587639   162        57         1          103       
58.216.27.36:443       10.208.150.159:52160   247011131    3362587639   621        20         5          595       
180.101.49.57:443      10.208.150.159:43700   223303435    3718406123   390        9          3          377       
180.101.49.57:443      10.208.150.159:43700   223304013    3718406123   514        20         1          493       
223.109.44.36:443      10.208.150.159:32816   3048740030   72331856     820        19         3          797       
223.109.44.36:443      10.208.150.159:32816   3048744126   72331856     1338       29         1          1308      
223.109.44.36:443      10.208.150.159:32822   1476038518   2719566297   387        14         21         351       
58.216.27.36:443       10.208.150.159:52160   247015050    3362587719   1150       9          1          1139      
58.216.27.36:443       10.208.150.159:52160   247015337    3362587719   1403       12         0          1390      
58.216.27.36:443       10.208.150.159:52160   247015624    3362587719   1714       13         1          1699      
58.216.27.36:443       10.208.150.159:52160   247015686    3362587906   1731       22         0          1708      
58.216.27.36:443       10.208.150.159:40116   3690306060   2758182387   2871       63         4          2803      
58.216.27.36:443       10.208.150.159:40116   3690308884   2758182387   2856       72         1          2782      
58.216.27.36:443       10.208.150.159:40116   3690310296   2758182387   2862       65         1          2795      
58.216.27.36:443       10.208.150.159:40116   3690311623   2758182387   3021       78         1          2941      
58.216.27.36:443       10.208.150.159:40116   3690311654   2758182387   4092       75         1          4015      
58.216.27.36:443       10.208.150.159:40116   3690313066   2758182387   4125       130        1          3993      
58.216.27.36:443       10.208.150.159:40116   3690314478   2758182387   4143       80         1          4062      
58.216.27.36:443       10.208.150.159:40116   3690318714   2758182387   4134       159        1          3973      
58.216.27.36:443       10.208.150.159:40116   3690319758   2758182387   4269       162        1          4105      
58.216.27.36:443       10.208.150.159:40116   3690319789   2758182387   11336      81         1          11252     
58.216.27.36:443       10.208.150.159:40116   3690321201   2758182387   11355      76         1          11277     
58.216.27.36:443       10.208.150.159:40116   3690322613   2758182387   11354      84         1          11268     
58.216.27.36:443       10.208.150.159:40116   3690324025   2758182387   11352      87         1          11263     
58.216.27.36:443       10.208.150.159:40116   3690328261   2758182387   11362      86         1          11275     
58.216.27.36:443       10.208.150.159:40116   3690329673   2758182387   11335      82         1          11252     
58.216.27.36:443       10.208.150.159:40116   3690333909   2758182387   11262      18446677868824436 0          66204896376
58.216.27.36:443       10.208.150.159:40116   3690334282   2758182387   10801      5          2          10793     
223.109.44.36:443      10.208.150.159:32816   3048745367   72331936     4353       38         1          4314      
223.109.44.36:443      10.208.150.159:32816   3048745654   72331936     4778       40         0          4736      
223.109.44.36:443      10.208.150.159:32816   3048745941   72332951     688        71         1          614       
58.216.27.36:443       10.208.150.159:52170   614230997    4159841728   8067       7          2          8057      
58.216.27.36:443       10.208.150.159:52170   614232409    4159841728   9573       13         1          9559      
58.216.27.36:443       10.208.150.159:52170   614233821    4159841728   8806       23         1          8782      
180.101.49.57:443      10.208.150.159:43646   4051779578   2125767710   2510       28         2          2480      
180.101.49.57:443      10.208.150.159:43646   4051779929   2125767710   2579       33         1          2544      
180.101.49.57:443      10.208.150.159:43648   2041023678   246960419    7684       66         5          7612      
180.101.49.57:443      10.208.150.159:43648   2041024029   246960419    7756       75         1          7679      
58.216.27.36:443       10.208.150.159:52182   1768864139   3873090973   3592       18         4          3570      
58.216.27.36:443       10.208.150.159:52182   1768866963   3873090973   4091       50         1          4039      
58.216.27.36:443       10.208.150.159:52182   1768868235   3873090973   3432       10         3          3418      
180.101.49.57:443      10.208.150.159:43662   686857777    2707094854   1410       13         4          1392      
180.101.49.57:443      10.208.150.159:43662   686858128    2707094854   1486       38         1          1446      
223.109.44.36:443      10.208.150.159:32822   1476043855   2719566377   629        25         1          602       
223.109.44.36:443      10.208.150.159:32822   1476044142   2719566377   951        29         1          920       
223.109.44.36:443      10.208.150.159:32836   2324648797   1377191773   67         22         4          39        
223.109.44.36:443      10.208.150.159:32836   2324652893   1377191773   219        17         7          193       
58.216.27.36:443       10.208.150.159:52170   614236328    4159841808   1160       23         7          1129      
58.216.27.36:443       10.208.150.159:52170   614236615    4159841808   1702       36         1          1664      
58.216.27.36:443       10.208.150.159:52170   614236902    4159841808   2093       38         1          2052      
58.216.27.36:443       10.208.150.159:52170   614236964    4159841995   2146       55         1          2089      
58.216.27.36:443       10.208.150.159:52182   1768869470   3873091053   1510       33         1          1475      
58.216.27.36:443       10.208.150.159:52182   1768870044   3873091053   1367       73         1          1292      
223.109.44.36:443      10.208.150.159:32844   1654902935   3117751322   2227       37         1          2187      
223.109.44.36:443      10.208.150.159:32844   1654905759   3117751322   1967       19         5          1943      
223.109.44.36:443      10.208.150.159:32844   1654907031   3117751322   748        32         2          713       
223.109.44.36:443      10.208.150.159:32822   1476044429   2719567392   134        51         6          76        
114.232.92.48:443      10.208.150.159:60266   3379673578   321169023    120        75         2          42        
114.232.92.48:443      10.208.150.159:60266   3379674079   321169023    109        39         4          64        
114.232.92.48:443      10.208.150.159:60266   3379674580   321169023    340        94         2          244       
223.112.198.35:80      10.208.150.159:59624   2436158521   863154259    449        107        1          340       
223.112.198.35:80      10.208.150.159:59624   2436169817   863154259    439        18446677868771872 0          66204938119
114.232.92.48:443      10.208.150.159:60266   3379675125   321169023    716        90         1          624       
114.232.92.48:443      10.208.150.159:60266   3379675669   321169314    1485       1400       4          81        
114.232.92.48:443      10.208.150.159:60266   3379676211   321169314    89         33         2          53        
223.109.44.36:443      10.208.150.159:32836   2324654134   1377191853   294        41         1          251       
223.109.44.36:443      10.208.150.159:32836   2324654421   1377191853   734        44         1          689       
223.109.44.36:443      10.208.150.159:32836   2324654708   1377192869   111        22         5          83        
223.109.44.36:443      10.208.150.159:32836   2324664592   1377192869   68         15         2          49        
223.109.44.36:443      10.208.150.159:32844   1654908272   3117752418   228        20         8          200       
223.109.44.36:443      10.208.150.159:32844   1654908559   3117752418   822        38         1          782       
114.232.92.48:443      10.208.150.159:60266   3379676710   321169612    246        40         9          196       
114.232.92.48:443      10.208.150.159:60266   3379677211   321169612    504        65         6          432       
223.109.44.36:443      10.208.150.159:32844   1654908846   3117752418   126        24         4          97        
223.109.44.36:443      10.208.150.159:32844   1654921554   3117752418   162        18446677868738476 0          66204971237
180.101.49.57:443      10.208.150.159:43700   223305328    3718407216   101        9          4          88        
180.101.49.57:443      10.208.150.159:43700   223305906    3718407216   171        35         0          135       
180.101.49.57:443      10.208.150.159:43648   2041024101   246962038    164        10         2          151       
180.101.49.57:443      10.208.150.159:43648   2041024295   246962038    261        53         1          207       
58.216.27.36:443       10.208.150.159:40116   3690334313   2758182938   3596       73         1          3521      
58.216.27.36:443       10.208.150.159:40116   3690335725   2758182938   3610       17         5          3587      
58.216.27.36:443       10.208.150.159:40116   3690336391   2758182938   3678       80         0          3597      
58.216.27.36:443       10.208.150.159:40116   3690336422   2758182938   3022       22         1          2998      
58.216.27.36:443       10.208.150.159:40116   3690337834   2758182938   3028       8          2          3017      
average time: 1514.633333 ,median time: 378,tail latency: 4092
58.216.27.36:443       10.208.150.159:52210   3956882236   3951589377   76         7          1          67        
58.216.27.36:443       10.208.150.159:52210   3956885060   3951589377   391        44         0          346       
58.216.27.36:443       10.208.150.159:52196   3796610232   152234701    103        10         2          90        
58.216.27.36:443       10.208.150.159:52210   3956887567   3951589457   287        80         1          205       
58.216.27.36:443       10.208.150.159:52210   3956887854   3951589457   644        63         1          579       
58.216.27.36:443       10.208.150.159:52210   3956888141   3951589457   891        66         1          823       
58.216.27.36:443       10.208.150.159:52210   3956888203   3951589644   878        71         1          806       
58.216.27.36:443       10.208.150.159:52196   3796615563   152234781    638        55         1          582       
58.216.27.36:443       10.208.150.159:52196   3796615850   152234781    847        54         1          791       
58.216.27.36:443       10.208.150.159:52196   3796616137   152234781    992        56         1          934       
58.216.27.36:443       10.208.150.159:52196   3796616199   152234968    1001       62         1          938       
180.101.50.22:443      10.208.150.159:50840   2640078929   3267311646   112        12         1          98        
180.101.50.22:443      10.208.150.159:50840   2640084095   3267311739   99         18         0          80        
180.101.50.22:443      10.208.150.159:50840   2640084265   3267312834   129        23         2          103       
180.101.50.22:443      10.208.150.159:50840   2640084417   3267312834   227        29         0          196       
180.97.107.3:443       10.208.150.159:46546   3908800636   2950919798   164        10         4          148       
180.97.107.3:443       10.208.150.159:46546   3908801066   2950919798   262        22         0          239       
average time: 455.352941 ,median time: 287,tail latency: 992
10.64.60.31:443        10.208.150.159:34234   3344452484   3067456137   160        23         0          135       
average time: 160.000000 ,median time: 160,tail latency: 160
49.67.73.133:80        10.208.150.159:40740   1413758353   3779767532   120        13         4          102       
49.67.73.133:80        10.208.150.159:40740   1413759801   3779767532   142        18446677862819028 0          66210890664
10.64.60.31:443        10.208.150.159:34234   3344459024   3067457399   83         14         3          64        
